Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,IRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
21-Feb,PNR,PNR,r1,A,Badonkadonk,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r1,A,Drinks Trolley,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r1,A,The Guarantee,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r1,A,Black Diamond,1:01:59,3719,2975,3096,1,1,-,0.795,1.008,0.8,0.8,0,0.833,4.12,0.824,0.806
21-Feb,PNR,PNR,r1,A,Rocket Science,1:01:31,3691,3000,3096,2,2,-,0.82,,0.813,0.813,0,0.839,3.2,0.837,0.819
21-Feb,PNR,PNR,r1,A,C U,1:04:30,3870,3096,3096,3,3,-,0.79,,0.8,0.8,0,0.8,0,0.8,0.8
21-Feb,PNR,PNR,r1,A,Revs,0:57:44,3464,3155,3096,4,4,-,0.89,1.234,0.911,0.911,0,0.894,-1.87,0.894,0.907
21-Feb,PNR,PNR,r1,A,Magic Trick,0:58:38,3518,3197,3096,5,5,-,0.875,,0.909,0.909,0,0.88,-3.19,0.882,0.902
21-Feb,PNR,PNR,r1,A,Jive Talkin,1:00:01,3601,3204,3096,6,6,-,0.865,,0.89,0.89,0,0.86,-3.37,0.863,0.883
21-Feb,PNR,PNR,r1,B,Illusions,<dnc>,,,,,,,,,,,,,,,
21-Feb,PNR,PNR,r1,B,White Cavalier,0:56:57,3417,1865,2088,1,1,-,0.65,,0.546,0.546,0,0.611,11.9,0.562,0.55
21-Feb,PNR,PNR,r1,B,Incantare,0:49:29,2969,1962,2088,2,2,-,0.725,,0.661,0.661,0,0.703,6.35,0.681,0.666
21-Feb,PNR,PNR,r1,B,Saucy Sausage,0:55:27,3327,2049,2088,3,3,-,0.63,,0.616,0.616,0,0.628,1.95,0.628,0.619
21-Feb,PNR,PNR,r1,B,Whistler III,0:45:57,2757,2059,2088,4,4,-,0.73,0.95,0.747,0.747,0,0.758,1.47,0.758,0.75
21-Feb,PNR,PNR,r1,B,After Midnight,0:47:36,2856,2073,2088,5,5,-,0.72,,0.726,0.726,0,0.731,0.69,0.731,0.727
21-Feb,PNR,PNR,r1,B,Blue Magic,0:47:21,2841,2076,2088,6,6,-,0.74,0.955,0.731,0.731,0,0.735,0.55,0.735,0.732
21-Feb,PNR,PNR,r1,B,Bacchante,0:48:06,2886,2077,2088,7,7,-,0.705,,0.72,0.72,0,0.724,0.56,0.724,0.721
21-Feb,PNR,PNR,r1,B,Prime Mover,0:46:38,2798,2087,2088,8,8,-,0.765,0.964,0.746,0.746,0,0.746,0,0.746,0.746
21-Feb,PNR,PNR,r1,B,Titus Canby,0:50:49,3049,2088,2088,9,9,-,0.69,,0.685,0.685,0,0.685,0,0.685,0.685
21-Feb,PNR,PNR,r1,B,Testarossa,0:44:46,2686,2089,2088,10,10,-,0.765,,0.778,0.778,0,0.778,0,0.778,0.778
