Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
20 Sep,Fleet,Special,Ambassador's,Combined,Marishka,0,2,1,<no entry>,,,,,0.0,,,,,,,,,,,,
20 Sep,Fleet,Special,Ambassador's,Combined,Airship,0,2,1,0:48:33,2913.0,2138.0,2332.0,1.0,1.0,-,0.753,1.0,,,0.7340000000000001,0.734,0.0,0.801,9.13,0.756,0.741
20 Sep,Fleet,Special,Ambassador's,Combined,Helter Skelter,0,2,1,0:44:04,2644.0,2220.0,2332.0,2.0,2.0,-,,,,,0.84,0.84,0.0,0.882,5.0,0.865,0.847
20 Sep,Fleet,Special,Ambassador's,Combined,Rosschild,0,2,1,1:01:42,3702.0,2261.0,2332.0,3.0,3.0,-,0.68,12.0,,,0.611,0.611,0.0,0.63,3.11,0.629,0.616
20 Sep,Fleet,Special,Ambassador's,Combined,Haumuri,0,2,1,0:58:11,3491.0,2265.0,2332.0,4.0,4.0,-,0.665,5.0,,,0.649,0.649,0.0,0.668,2.93,0.668,0.655
20 Sep,Fleet,Special,Ambassador's,Combined,Testarossa,0,2,1,0:48:12,2892.0,2284.0,2332.0,5.0,5.0,-,0.772,2.0,,,0.79,0.79,0.0,0.807,2.15,0.807,0.795
20 Sep,Fleet,Special,Ambassador's,Combined,Gucci,0,2,1,0:50:53,3053.0,2292.0,2332.0,6.0,6.0,-,0.745,3.0,0.963,1.0,0.7509999999999999,0.751,-0.0,0.764,1.73,0.764,0.755
20 Sep,Fleet,Special,Ambassador's,Combined,Wiseguy,0,2,1,0:55:22,3322.0,2295.0,2332.0,7.0,7.0,-,0.725,10.0,,,0.691,0.691,0.0,0.702,1.59,0.702,0.694
20 Sep,Fleet,Special,Ambassador's,Combined,Illusions,0,2,1,0:58:37,3517.0,2310.0,2332.0,9.0,8.5,No,0.67,8.0,,,0.657,0.657,0.0,0.663,0.91,0.663,0.659
20 Sep,Fleet,Special,Ambassador's,Combined,Charlie,0,2,1,1:05:42,3942.0,2310.0,2332.0,8.0,8.5,No,,,,,0.586,0.586,0.0,0.592,1.02,0.592,0.588
20 Sep,Fleet,Special,Ambassador's,Combined,After Midnight,0,2,1,0:53:55,3235.0,2332.0,2332.0,10.0,10.0,-,0.725,7.0,,,0.721,0.721,0.0,0.721,0.0,0.721,0.721
20 Sep,Fleet,Special,Ambassador's,Combined,Eat My Shorts,0,2,1,0:52:47,3167.0,2340.0,2332.0,11.0,11.0,-,0.74,6.0,,,0.7390000000000001,0.739,0.0,0.736,-0.41,0.736,0.738
20 Sep,Fleet,Special,Ambassador's,Combined,Wedgetail,0,2,1,0:40:35,2435.0,2342.0,2332.0,12.0,12.0,-,0.945,4.0,1.209,2.0,0.9620000000000001,0.962,0.0,0.958,-0.42,0.958,0.961
20 Sep,Fleet,Special,Ambassador's,Combined,White Cavalier,0,2,1,1:10:10,4210.0,2361.0,2332.0,13.0,13.0,-,0.65,16.0,,,0.561,0.561,0.0,0.554,-1.25,0.554,0.559
20 Sep,Fleet,Special,Ambassador's,Combined,The Guarantee,0,2,1,0:47:16,2836.0,2427.0,2332.0,14.0,14.0,-,0.84,9.0,,,0.856,0.856,0.0,0.822,-3.97,0.83,0.848
20 Sep,Fleet,Special,Ambassador's,Combined,CU,0,2,1,0:51:17,3077.0,2430.0,2332.0,15.0,15.0,-,,,,,0.79,0.79,0.0,0.758,-4.05,0.766,0.783
20 Sep,Fleet,Special,Ambassador's,Combined,Titus Canby,0,2,1,0:59:05,3545.0,2438.0,2332.0,16.0,16.0,-,0.69,11.0,,,0.688,0.688,0.0,0.658,-4.36,0.667,0.682
