Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
20-Feb,PNR,PNR,r1,A,St Laurence,0,2,1,0:53:42,3222,3234,3431,1,1,-,,,,,1.004,1.004,0,1.065,6.08,1.034,1.013
20-Feb,PNR,PNR,r1,A,Blink,0,2,1,0:56:49,3409,3334,3431,2,2,-,0.96,1,1.362,3,0.978,0.978,0,1.006,2.86,1.006,0.986
20-Feb,PNR,PNR,r1,A,Satellite Spy,0,2,1,1:03:01,3781,3338,3431,3,3,-,0.885,2,,,0.883,0.883,0,0.908,2.83,0.908,0.89
20-Feb,PNR,PNR,r1,A,Wedgetail,0,2,1,0:59:16,3556,3349,3431,4,4,-,0.945,3,1.209,2,0.942,0.942,0,0.965,2.44,0.965,0.949
20-Feb,PNR,PNR,r1,A,The Guarantee,0,2,1,1:07:10,4030,3369,3431,5,5,-,0.84,4,,,0.836,0.836,0,0.851,1.79,0.851,0.84
20-Feb,PNR,PNR,r1,A,Revs,0,2,1,1:04:24,3864,3431,3431,6,6,-,0.9,8,,,0.888,0.888,0,0.888,0,0.888,0.888
20-Feb,PNR,PNR,r1,A,Black Diamond,0,2,1,1:10:53,4253,3444,3431,7,7,-,0.807,5,1.006,1,0.81,0.81,0,0.807,-0.37,0.807,0.809
20-Feb,PNR,PNR,r1,A,Magic Trick,0,2,1,1:05:26,3926,3490,3431,8,8,-,0.875,6,,,0.889,0.889,0,0.874,-1.69,0.874,0.884
20-Feb,PNR,PNR,r1,A,Helter Skelter,0,2,1,1:08:50,4130,3539,3431,9,9,-,0.855,9,,,0.857,0.857,0,0.831,-3.03,0.831,0.849
20-Feb,PNR,PNR,r1,A,Crusader,0,2,1,1:00:55,3655,3556,3431,10,10,-,0.951,7,,,0.973,0.973,0,0.939,-3.49,0.944,0.964
20-Feb,PNR,PNR,r1,A,Jive Talkin,0,2,1,1:08:55,4135,3597,3431,11,11,-,0.857,10,,,0.87,0.87,0,0.83,-4.6,0.844,0.862
20-Feb,PNR,PNR,r1,B,White Cavalier,0,2,1,1:29:13,5353,2938,3267,1,1,-,0.65,14,,,0.549,0.549,0,0.61,11.11,0.565,0.554
20-Feb,PNR,PNR,r1,B,Haumuri,0,2,1,1:24:15,5055,3118,3267,2,2,-,0.662,8,,,0.617,0.617,0,0.646,4.7,0.636,0.623
20-Feb,PNR,PNR,r1,B,Tracer,0,2,1,1:36:47,5807,3135,3267,3,3,-,0.595,13,,,0.54,0.54,0,0.563,4.26,0.556,0.545
20-Feb,PNR,PNR,r1,B,Flying Machine,0,2,1,1:11:17,4277,3164,3267,4,4,-,0.762,5,0.941,1,0.74,0.74,0,0.764,3.24,0.762,0.747
20-Feb,PNR,PNR,r1,B,Gucci,0,2,1,1:10:05,4205,3174,3267,5,5,-,0.745,2,0.963,2,0.755,0.755,0,0.777,2.91,0.777,0.762
20-Feb,PNR,PNR,r1,B,Stepping Stone,0,2,1,1:11:31,4291,3231,3267,6,6,-,0.755,3,,,0.753,0.753,0,0.761,1.06,0.761,0.755
20-Feb,PNR,PNR,r1,B,Airship,0,2,1,1:08:54,4134,3245,3267,7,7,-,0.753,1,,,0.785,0.785,0,0.79,0.64,0.79,0.786
20-Feb,PNR,PNR,r1,B,Wiseguy,0,2,1,1:17:41,4661,3258,3267,8,8,-,0.725,11,,,0.699,0.699,0,0.701,0.29,0.701,0.7
20-Feb,PNR,PNR,r1,B,Whistler III,0,2,1,1:14:24,4464,3267,3267,9,9,-,0.737,6,0.95,4,0.732,0.732,0,0.732,0,0.732,0.732
20-Feb,PNR,PNR,r1,B,Testarossa,0,2,1,1:12:16,4336,3282,3267,10,10,-,0.772,9,,,0.757,0.757,0,0.754,-0.4,0.754,0.756
20-Feb,PNR,PNR,r1,B,Prime Mover,0,2,1,1:12:13,4333,3310,3267,11,11,-,0.762,7,0.964,3,0.764,0.764,0,0.754,-1.31,0.754,0.761
20-Feb,PNR,PNR,r1,B,Brix,0,2,1,1:21:08,4868,3319,3267,12,12,-,0.725,16,,,0.682,0.682,0,0.671,-1.61,0.671,0.679
20-Feb,PNR,PNR,r1,B,After Midnight,0,2,1,1:14:34,4474,3333,3267,13,13,-,0.725,4,,,0.745,0.745,0,0.73,-2.01,0.73,0.74
20-Feb,PNR,PNR,r1,B,CU,0,2,1,1:17:11,4631,3348,3267,14,14,-,0.76,15,,,0.723,0.723,0,0.706,-2.35,0.706,0.718
20-Feb,PNR,PNR,r1,B,Illusions,0,2,1,1:24:20,5060,3354,3267,15,15,-,0.675,12,0.918,5,0.663,0.663,0,0.646,-2.56,0.646,0.658
20-Feb,PNR,PNR,r1,B,Titus Canby,0,2,1,1:21:13,4873,3440,3267,16,16,-,0.69,10,,,0.706,0.706,0,0.67,-5.1,0.685,0.7
20-Feb,PNR,PNR,r1,B,Incantare,0,2,1,1:23:33,5013,3448,3267,17,17,-,0.725,18,,,0.688,0.688,0,0.652,-5.23,0.667,0.682
20-Feb,PNR,PNR,r1,B,Synfinity,0,2,1,1:21:54,4914,3538,3267,18,18,-,0.72,17,,,0.72,0.72,0,0.665,-7.64,0.698,0.713
20-Feb,PNR,PNR,r2,A,Satellite Spy,0,2,1,1:04:45,3885,3457,3562,1,1,-,0.885,1,,,0.89,0.89,0,0.917,3.03,0.917,0.899
20-Feb,PNR,PNR,r2,A,Wedgetail,0,2,1,1:01:03,3663,3476,3562,2,2,-,0.945,2,1.209,2,0.95,0.949,0.001,0.972,2.42,0.972,0.957
20-Feb,PNR,PNR,r2,A,The Guarantee,0,2,1,1:09:16,4156,3491,3562,3,3,-,0.84,3,,,0.841,0.84,0.001,0.857,2.02,0.857,0.846
20-Feb,PNR,PNR,r2,A,St Laurence,0,2,1,0:57:41,3461,3505,3562,4,4,-,,,,,1.012,1.013,-0.001,1.029,1.58,1.029,1.019
20-Feb,PNR,PNR,r2,A,Black Diamond,0,2,1,1:13:11,4391,3552,3562,5,5,-,0.807,4,1.006,1,0.81,0.809,0.001,0.811,0.25,0.811,0.81
20-Feb,PNR,PNR,r2,A,Revs,0,2,1,1:06:52,4012,3562,3562,6,6,-,0.9,7,,,0.888,0.888,0,0.888,0,0.888,0.888
20-Feb,PNR,PNR,r2,A,Magic Trick,0,2,1,1:08:12,4092,3617,3562,7,7,-,0.875,5,,,0.884,0.884,0,0.871,-1.47,0.871,0.88
20-Feb,PNR,PNR,r2,A,Blink,0,2,1,1:02:33,3753,3700,3562,8,8,-,0.96,6,1.362,3,0.986,0.986,0,0.949,-3.75,0.956,0.978
20-Feb,PNR,PNR,r2,A,Crusader,0,2,1,1:04:02,3842,3703,3562,9,9,-,0.951,8,,,0.965,0.964,0.001,0.927,-3.84,0.935,0.954
20-Feb,PNR,PNR,r2,A,Jive Talkin,0,2,1,1:11:37,4297,3704,3562,10,10,-,0.857,9,,,0.863,0.862,0.001,0.829,-3.83,0.836,0.853
20-Feb,PNR,PNR,r2,A,Helter Skelter,0,2,1,1:15:52,4552,3864,3562,11,11,-,0.855,10,,,0.849,0.849,0,0.783,-7.77,0.824,0.841
20-Feb,PNR,PNR,r2,B,White Cavalier,0,2,1,1:43:39,6219,3445,3762,1,1,-,0.65,16,,,0.554,0.554,0,0.605,9.21,0.571,0.56
20-Feb,PNR,PNR,r2,B,Flying Machine,0,2,1,1:18:57,4737,3538,3762,2,2,-,0.762,2,0.941,1,0.745,0.747,-0.002,0.794,6.29,0.769,0.754
20-Feb,PNR,PNR,r2,B,Tracer,0,2,1,1:50:02,6602,3598,3762,4,3,No,0.595,11,,,0.545,0.545,0,0.57,4.59,0.561,0.55
20-Feb,PNR,PNR,r2,B,Testarossa,0,2,1,1:19:29,4769,3605,3762,3,4,No,0.772,4,,,0.754,0.756,-0.002,0.789,4.37,0.779,0.763
20-Feb,PNR,PNR,r2,B,Brix,0,2,1,1:30:30,5430,3686,3762,5,5.5,No,0.725,12,,,0.677,0.679,-0.002,0.693,2.06,0.693,0.683
20-Feb,PNR,PNR,r2,B,Wiseguy,0,2,1,1:27:47,5267,3686,3762,6,5.5,No,0.725,9,,,0.698,0.7,-0.002,0.714,2,0.714,0.704
20-Feb,PNR,PNR,r2,B,Gucci,0,2,1,1:22:07,4927,3754,3762,7,7,-,0.745,3,0.963,2,0.758,0.762,-0.004,0.764,0.26,0.764,0.763
20-Feb,PNR,PNR,r2,B,After Midnight,0,2,1,1:24:39,5079,3758,3762,8,8,-,0.725,5,,,0.739,0.74,-0.001,0.741,0.14,0.741,0.74
