Date,Handicap,Series,Race,Div,Boat name,resetTCF,TCFalgo,Scoring,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,rankPHRF,IRC,rankIRC,TCFapplied,TCFactual,TCFdiff,TCFst,pctMvmt,TCFclmp,newTCF
20 Feb,PNR,PNR,r1,A,St Laurence,1,2,1,0:53:42,3222.0,3234.0,3431.0,1.0,1.0,-,,,,,1.004,1.004,0.0,1.065,6.08,1.034,1.013
20 Feb,PNR,PNR,r1,A,Blink,1,2,1,0:56:49,3409.0,3334.0,3431.0,2.0,2.0,-,0.96,1.0,1.3619999999999999,3.0,0.978,0.978,0.0,1.006,2.86,1.006,0.986
20 Feb,PNR,PNR,r1,A,Satellite Spy,1,2,1,1:03:01,3781.0,3338.0,3431.0,3.0,3.0,-,0.885,2.0,,,0.883,0.883,0.0,0.908,2.83,0.908,0.89
20 Feb,PNR,PNR,r1,A,Wedgetail,1,2,1,0:59:16,3556.0,3349.0,3431.0,4.0,4.0,-,0.945,3.0,1.209,2.0,0.9420000000000001,0.9420000000000001,0.0,0.965,2.44,0.965,0.949
20 Feb,PNR,PNR,r1,A,The Guarantee,1,2,1,1:07:10,4030.0,3369.0,3431.0,5.0,5.0,-,0.84,4.0,,,0.836,0.836,0.0,0.851,1.79,0.851,0.84
20 Feb,PNR,PNR,r1,A,Revs,1,2,1,1:04:24,3864.0,3431.0,3431.0,6.0,6.0,-,0.9,8.0,,,0.888,0.888,0.0,0.888,0.0,0.888,0.888
20 Feb,PNR,PNR,r1,A,Black Diamond,1,2,1,1:10:53,4253.0,3444.0,3431.0,7.0,7.0,-,0.807,5.0,1.006,1.0,0.81,0.81,0.0,0.807,-0.37,0.807,0.809
20 Feb,PNR,PNR,r1,A,Magic Trick,1,2,1,1:05:26,3926.0,3490.0,3431.0,8.0,8.0,-,0.875,6.0,,,0.889,0.889,0.0,0.874,-1.69,0.874,0.884
20 Feb,PNR,PNR,r1,A,Helter Skelter,1,2,1,1:08:50,4130.0,3539.0,3431.0,9.0,9.0,-,0.855,9.0,,,0.857,0.857,0.0,0.831,-3.03,0.831,0.849
20 Feb,PNR,PNR,r1,A,Crusader,1,2,1,1:00:55,3655.0,3556.0,3431.0,10.0,10.0,-,0.951,7.0,,,0.973,0.973,0.0,0.939,-3.49,0.944,0.964
20 Feb,PNR,PNR,r1,A,Jive Talkin,1,2,1,1:08:55,4135.0,3597.0,3431.0,11.0,11.0,-,0.857,10.0,,,0.87,0.87,0.0,0.83,-4.6,0.844,0.862
20 Feb,PNR,PNR,r1,B,White Cavalier,1,2,1,1:29:13,5353.0,2938.0,3267.0,1.0,1.0,-,0.65,14.0,,,0.5489999999999999,0.5489999999999999,0.0,0.61,11.11,0.565,0.554
20 Feb,PNR,PNR,r1,B,Haumuri,1,2,1,1:24:15,5055.0,3118.0,3267.0,2.0,2.0,-,0.662,8.0,,,0.617,0.617,0.0,0.646,4.7,0.636,0.623
20 Feb,PNR,PNR,r1,B,Tracer,1,2,1,1:36:47,5807.0,3135.0,3267.0,3.0,3.0,-,0.595,13.0,,,0.54,0.54,0.0,0.563,4.26,0.556,0.545
20 Feb,PNR,PNR,r1,B,Flying Machine,1,2,1,1:11:17,4277.0,3164.0,3267.0,4.0,4.0,-,0.762,5.0,0.941,1.0,0.74,0.74,0.0,0.764,3.24,0.762,0.747
20 Feb,PNR,PNR,r1,B,Gucci,1,2,1,1:10:05,4205.0,3174.0,3267.0,5.0,5.0,-,0.745,2.0,0.963,2.0,0.755,0.755,0.0,0.777,2.91,0.777,0.762
20 Feb,PNR,PNR,r1,B,Stepping Stone,1,2,1,1:11:31,4291.0,3231.0,3267.0,6.0,6.0,-,0.755,3.0,,,0.753,0.753,0.0,0.761,1.06,0.761,0.755
20 Feb,PNR,PNR,r1,B,Airship,1,2,1,1:08:54,4134.0,3245.0,3267.0,7.0,7.0,-,0.753,1.0,,,0.785,0.785,0.0,0.79,0.64,0.79,0.786
20 Feb,PNR,PNR,r1,B,Wiseguy,1,2,1,1:17:41,4661.0,3258.0,3267.0,8.0,8.0,-,0.725,11.0,,,0.6990000000000001,0.6990000000000001,0.0,0.701,0.29,0.701,0.7
20 Feb,PNR,PNR,r1,B,Whistler III,1,2,1,1:14:24,4464.0,3267.0,3267.0,9.0,9.0,-,0.737,6.0,0.95,4.0,0.732,0.732,0.0,0.732,0.0,0.732,0.732
20 Feb,PNR,PNR,r1,B,Testarossa,1,2,1,1:12:16,4336.0,3282.0,3267.0,10.0,10.0,-,0.772,9.0,,,0.757,0.757,0.0,0.754,-0.4,0.754,0.756
20 Feb,PNR,PNR,r1,B,Prime Mover,1,2,1,1:12:13,4333.0,3310.0,3267.0,11.0,11.0,-,0.762,7.0,0.9640000000000001,3.0,0.764,0.764,0.0,0.754,-1.31,0.754,0.761
20 Feb,PNR,PNR,r1,B,Brix,1,2,1,1:21:08,4868.0,3319.0,3267.0,12.0,12.0,-,0.725,16.0,,,0.682,0.682,0.0,0.671,-1.61,0.671,0.679
20 Feb,PNR,PNR,r1,B,After Midnight,1,2,1,1:14:34,4474.0,3333.0,3267.0,13.0,13.0,-,0.725,4.0,,,0.745,0.745,0.0,0.73,-2.01,0.73,0.74
20 Feb,PNR,PNR,r1,B,CU,1,2,1,1:17:11,4631.0,3348.0,3267.0,14.0,14.0,-,0.76,15.0,,,0.723,0.723,0.0,0.706,-2.35,0.706,0.718
20 Feb,PNR,PNR,r1,B,Illusions,1,2,1,1:24:20,5060.0,3354.0,3267.0,15.0,15.0,-,0.675,12.0,0.9179999999999999,5.0,0.6629999999999999,0.6629999999999999,0.0,0.646,-2.56,0.646,0.658
20 Feb,PNR,PNR,r1,B,Titus Canby,1,2,1,1:21:13,4873.0,3440.0,3267.0,16.0,16.0,-,0.69,10.0,,,0.706,0.706,0.0,0.67,-5.1,0.685,0.7
20 Feb,PNR,PNR,r1,B,Incantare,1,2,1,1:23:33,5013.0,3448.0,3267.0,17.0,17.0,-,0.725,18.0,,,0.688,0.688,0.0,0.652,-5.23,0.667,0.682
20 Feb,PNR,PNR,r1,B,Synfinity,1,2,1,1:21:54,4914.0,3538.0,3267.0,18.0,18.0,-,0.72,17.0,,,0.72,0.72,0.0,0.665,-7.64,0.698,0.713
20 Feb,PNR,PNR,r2,A,Satellite Spy,0,2,1,1:04:45,3885.0,3457.0,3562.0,1.0,1.0,-,0.885,1.0,,,0.885,0.89,-0.005,0.917,3.03,0.917,0.899
20 Feb,PNR,PNR,r2,A,Wedgetail,0,2,1,1:01:03,3663.0,3476.0,3562.0,2.0,2.0,-,0.945,2.0,1.209,2.0,0.9440000000000001,0.949,-0.005,0.972,2.42,0.972,0.957
20 Feb,PNR,PNR,r2,A,The Guarantee,0,2,1,1:09:16,4156.0,3491.0,3562.0,3.0,3.0,-,0.84,3.0,,,0.8370000000000001,0.84,-0.003,0.857,2.02,0.857,0.846
20 Feb,PNR,PNR,r2,A,St Laurence,0,2,1,0:57:41,3461.0,3505.0,3562.0,4.0,4.0,-,,,,,1.012,1.013,-0.001,1.029,1.58,1.029,1.019
