,Date,Handicap,Boat name,newTCF,PHRF,IRC
0,14 Mar,Central Triangle,Blink,1.014,1.022,1.3619999999999999
1,14 Mar,Central Triangle,Crusader,1.014,1.022,1.371
2,14 Mar,Central Triangle,Gucci,0.748,0.758,0.963
3,14 Mar,Central Triangle,Jive Talkin,0.86,0.87,
4,14 Mar,Central Triangle,Montego Bay III,0.741,0.7609999999999999,
5,14 Mar,Central Triangle,Revs,0.863,0.895,
6,14 Mar,Central Triangle,Satellite Spy,0.887,0.892,
7,28 Mar,Championship,After Midnight,0.734,0.725,
8,28 Mar,Championship,Airship,0.76,0.753,1.031
9,11 Oct,Championship,Badonkadonk,0.837,0.865,
10,28 Mar,Championship,Blink,0.964,0.96,1.3619999999999999
11,28 Feb,Championship,Blurred Image,0.681,,
12,28 Feb,Championship,Brix,0.687,0.725,
13,28 Mar,Championship,CU,0.727,0.76,
14,28 Feb,Championship,Charlie,0.581,,
15,28 Feb,Championship,Eat My Shorts,0.741,0.74,
16,28 Feb,Championship,Floating Free,0.721,,
17,28 Feb,Championship,Gucci,0.754,0.745,0.963
18,28 Mar,Championship,Haumuri,0.628,0.665,
19,28 Mar,Championship,Helter Skelter,0.858,0.855,
20,28 Mar,Championship,Illusions,0.662,0.675,0.9179999999999999
21,28 Mar,Championship,Incantare,0.688,0.725,0.953
22,8 Nov,Championship,La Quintessence,0.701,,
23,31 Jan,Championship,Magic Trick,0.89,0.875,
24,21 Mar,Championship,Marangi,0.608,0.675,
25,11 Oct,Championship,Maranui,0.544,,
26,28 Mar,Championship,Marishka,0.599,0.65,
27,28 Feb,Championship,Montego Bay III,0.746,0.745,
28,4 Oct,Championship,Port Nic 1,0.674,,
29,28 Mar,Championship,Port Nic 2,0.667,,
30,28 Mar,Championship,Prime Mover,0.755,0.762,0.9640000000000001
31,28 Mar,Championship,Revenue Cutter,0.638,,
32,28 Mar,Championship,Revs,0.882,0.9,
33,31 Jan,Championship,Rosschild,0.639,0.68,
34,8 Nov,Championship,Saffron,0.679,,
35,18 Oct,Championship,Saucy Sausage,0.634,0.635,
36,28 Feb,Championship,St Laurence,1.05,,
37,28 Mar,Championship,Stepping Stone,0.746,0.755,
38,8 Nov,Championship,Structural Analysis,0.771,,
39,28 Mar,Championship,Testarossa,0.777,0.772,
40,31 Jan,Championship,The Guarantee,0.838,0.84,
41,28 Mar,Championship,Titus Canby,0.696,0.69,
42,28 Feb,Championship,Tortimony,0.619,,
43,29 Nov,Championship,Wai Aniwa,0.678,0.69,
44,28 Mar,Championship,Wedgetail,0.951,0.945,1.209
45,28 Mar,Championship,Whistler III,0.73,0.737,0.95
46,28 Feb,Championship,White Cavalier,0.551,0.65,
47,28 Mar,Championship,Wiseguy,0.702,0.725,
48,8 Nov,Classics,Galatea,0.504,,
49,14 Mar,Classics,Lizzie,0.419,,
50,7 Feb,Classics,Mabel,0.415,,
51,14 Mar,Classics,Shemara,0.4,,
52,25 Mar,Fleet,After Midnight,0.719,0.725,
53,28 Feb,Fleet,Airship,0.743,0.753,1.031
54,13 Dec,Fleet,Blink,0.98,1.0,
55,28 Feb,Fleet,Blurred Image,0.698,,
56,28 Feb,Fleet,Brix,0.69,0.725,
57,25 Mar,Fleet,CU,0.741,0.76,
58,28 Feb,Fleet,Charlie,0.595,,
59,13 Dec,Fleet,Crusader,0.981,1.045,
60,24 Jan,Fleet,Drinks Trolley,0.823,0.84,
61,28 Feb,Fleet,Eat My Shorts,0.728,0.74,
62,13 Dec,Fleet,Excel,0.715,,
63,14 Mar,Fleet,Floating Free,0.707,,
64,13 Dec,Fleet,Flying Fox,0.769,,
65,28 Feb,Fleet,Gucci,0.742,0.745,0.963
66,28 Feb,Fleet,Haumuri,0.648,0.665,
