Date,Handicap,Series,Race,Div,Boat name,Elapsed time,ETsecs,corrSecs,refTime,RankAppld,Rank,rankDiff,PHRF,IRC,TCFapplied,newTCF,TCFdiff,TCFst,pctMvmt,TCFclmp,oldTCF
28-Sep,Championship,Spring,r1,1,The Guarantee,2:25:04,8704,7380,7380,1,1,-,0.845,,0.848,0.848,0,0.848,0,0.848,0.848
28-Sep,Championship,Spring,r1,1,Revs,2:20:08,8408,7516,7380,2,2,-,0.885,1.234,0.894,0.894,0,0.878,-1.79,0.878,0.894
28-Sep,Championship,Spring,r1,2,Whistler III,2:28:17,8897,6396,6846,1,1,-,0.725,0.95,0.719,0.719,0,0.77,7.09,0.741,0.719
28-Sep,Championship,Spring,r1,2,Incantare,2:34:37,9277,6466,6846,2,2,-,0.725,,0.697,0.697,0,0.738,5.88,0.718,0.697
28-Sep,Championship,Spring,r1,2,Airship,2:25:28,8728,6484,6846,3,3,-,0.735,,0.743,0.743,0,0.784,5.52,0.765,0.743
28-Sep,Championship,Spring,r1,2,Wiseguy,2:41:37,9697,6846,6846,4,4,-,,,0.706,0.706,0,0.706,0,0.706,0.706
28-Sep,Championship,Spring,r1,2,Wellington Spirit Bronze,2:31:01,9061,6976,6846,5,5,-,0.79,,0.77,0.77,0,0.756,-1.82,0.756,0.77
28-Sep,Championship,Spring,r1,2,Wellington Spirit Red,2:34:37,9277,7143,6846,6,6,-,0.79,,0.77,0.77,0,0.738,-4.16,0.747,0.77
28-Sep,Championship,Spring,r1,2,Gucci,2:38:16,9496,7235,6846,7,7,-,0.755,0.963,0.762,0.762,0,0.721,-5.38,0.739,0.762
28-Sep,Championship,Spring,r1,3,Marangi,<no entry>,,,,,,,,,,,,,,,
28-Sep,Championship,Spring,r1,3,Cantilena,2:03:17,7397,4682,5074,1,1,-,,,0.633,0.633,0,0.686,8.37,0.652,0.633
28-Sep,Championship,Spring,r1,3,Titus Canby,2:02:45,7365,5074,5074,2,2,-,0.69,,0.689,0.689,0,0.689,0,0.689,0.689
28-Sep,Championship,Spring,r1,3,Saucy Sausage,2:15:56,8156,5130,5074,3,3,-,0.63,,0.629,0.629,0,0.622,-1.11,0.622,0.629
5-Oct,Championship,Spring,r1,Open,St Laurence,2:08:27,7707,8092,8092,1,1,-,,,1.05,1.05,0,1.05,0,1.05,1.05
